mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,param_min_samples_leaf,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.16950879096984864,0.02151596189776992,0.005974817276000977,0.0009150274148584765,entropy,3,15,1,"{'criterion': 'entropy', 'max_depth': 3, 'max_features': 15, 'min_samples_leaf': 1}",0.6390148785553813,0.6847526599126785,0.7137467678351914,0.7393073629774066,0.7429843153878762,0.7039611969337067,0.03861322258276808,208
0.16911487579345702,0.04842270962207701,0.0062484264373779295,0.00071835710801892,entropy,3,15,2,"{'criterion': 'entropy', 'max_depth': 3, 'max_features': 15, 'min_samples_leaf': 2}",0.7303632741299648,0.7398160315374507,0.7065830189479039,0.7380780806239667,0.5513353115727003,0.6932351433623973,0.07193454567077759,216
0.1354147434234619,0.011774243337080543,0.007575082778930664,0.0028321963421859644,entropy,3,15,3,"{'criterion': 'entropy', 'max_depth': 3, 'max_features': 15, 'min_samples_leaf': 3}",0.7393921410707474,0.7273536518163707,0.7065830189479039,0.7368064092238565,0.7088172954641797,0.7237905033046117,0.013753657012738918,186
0.17638630867004396,0.017488929206138808,0.0060211181640625,0.0007525238603053628,entropy,3,15,4,"{'criterion': 'entropy', 'max_depth': 3, 'max_features': 15, 'min_samples_leaf': 4}",0.7446059938111992,0.7075155779746514,0.7450722733245729,0.725022254249502,0.6853751589656634,0.7215182516651178,0.022814520938264,190
0.15552763938903807,0.026170133876145432,0.0067554950714111325,0.0010368079952385353,entropy,3,15,5,"{'criterion': 'entropy', 'max_depth': 3, 'max_features': 15, 'min_samples_leaf': 5}",0.7446059938111992,0.6787334152854902,0.7128989869017845,0.7382476368106481,0.7131835523526918,0.7175339170323627,0.023271625272606424,192
0.14825882911682128,0.006472929820703847,0.006721591949462891,0.0010261353128611067,entropy,3,15,7,"{'criterion': 'entropy', 'max_depth': 3, 'max_features': 15, 'min_samples_leaf': 7}",0.7578313763723454,0.7398160315374507,0.6917468526132847,0.7376541901572634,0.7183128444256041,0.7290722590211897,0.022472721182260052,173
0.16130080223083496,0.024138362734854167,0.006197357177734375,0.000982287492562476,entropy,3,15,8,"{'criterion': 'entropy', 'max_depth': 3, 'max_features': 15, 'min_samples_leaf': 8}",0.715315162561994,0.7263363146962825,0.7136619897418507,0.7103556441015642,0.7218312844425604,0.7175000791088503,0.005785950930979262,194
0.1507266044616699,0.022295062227860398,0.00718536376953125,0.0014712142658730666,entropy,3,15,9,"{'criterion': 'entropy', 'max_depth': 3, 'max_features': 15, 'min_samples_leaf': 9}",0.7578313763723454,0.7398160315374507,0.7606714424992582,0.7268873723029969,0.7429843153878762,0.7456381076199855,0.012387140255195503,138
0.18182053565979003,0.012412820285458525,0.005946588516235351,0.001150052159234428,entropy,3,17,1,"{'criterion': 'entropy', 'max_depth': 3, 'max_features': 17, 'min_samples_leaf': 1}",0.7446059938111992,0.7575770420923233,0.7476580051714637,0.761137722012632,0.7475201356506994,0.7516997797476634,0.006445837917281431,125
0.18025131225585939,0.02168431258057579,0.0065267086029052734,0.0013282072775410874,entropy,3,17,2,"{'criterion': 'entropy', 'max_depth': 3, 'max_features': 17, 'min_samples_leaf': 2}",0.739222584884066,0.7128142088084439,0.7416387605442754,0.7044211775677165,0.7570580754557016,0.7310309614520406,0.019478036013116474,169
0.17568535804748536,0.012838956605143505,0.0063323974609375,0.0007012305544121689,entropy,3,17,3,"{'criterion': 'entropy', 'max_depth': 3, 'max_features': 17, 'min_samples_leaf': 3}",0.739222584884066,0.7466406680513755,0.7136619897418507,0.7380780806239667,0.7475201356506994,0.7370246917903918,0.012283139259745444,162
0.16896767616271974,0.019395720293374087,0.005959463119506836,0.0005376112038672264,entropy,3,17,4,"{'criterion': 'entropy', 'max_depth': 3, 'max_features': 17, 'min_samples_leaf': 4}",0.7510491289050909,0.7128142088084439,0.7585096011190708,0.7218430757492263,0.7475201356506994,0.7383472300465062,0.017755697236192705,158
0.17697649002075194,0.020955553523648113,0.0059452056884765625,0.0010421017270702165,entropy,3,17,5,"{'criterion': 'entropy', 'max_depth': 3, 'max_features': 17, 'min_samples_leaf': 5}",0.6196006951803654,0.705226569454453,0.7402823110508244,0.7119664278750371,0.6412886816447647,0.683672937041089,0.04554421851808444,222
0.17308616638183594,0.01798604773833801,0.005377006530761719,0.0004874372872033455,entropy,3,17,7,"{'criterion': 'entropy', 'max_depth': 3, 'max_features': 17, 'min_samples_leaf': 7}",0.6964096477470222,0.7075155779746514,0.7450722733245729,0.7481666737315078,0.741034336583298,0.7276397018722105,0.021377389941263068,176
0.1548327922821045,0.02205264416185911,0.006139707565307617,0.0008168881802087918,entropy,3,17,8,"{'criterion': 'entropy', 'max_depth': 3, 'max_features': 17, 'min_samples_leaf': 8}",0.6597431223771777,0.7147217159086092,0.7450722733245729,0.7420626510109788,0.7416701992369649,0.7206539923716606,0.03237773941446298,191
0.1815329074859619,0.01288317695942497,0.006478071212768555,0.0007128718226250481,entropy,3,17,9,"{'criterion': 'entropy', 'max_depth': 3, 'max_features': 17, 'min_samples_leaf': 9}",0.7446059938111992,0.7050146242211013,0.6326565215548302,0.6313000720613794,0.7590080542602797,0.6945170531817579,0.054039434242701086,215
0.19091415405273438,0.024913568818177752,0.005664157867431641,0.0008353510566872989,entropy,3,20,1,"{'criterion': 'entropy', 'max_depth': 3, 'max_features': 20, 'min_samples_leaf': 1}",0.7446059938111992,0.7340087321436141,0.7450722733245729,0.6427451146623713,0.7455701568461213,0.7224004541575757,0.040059100654464726,188
0.18769893646240235,0.017174653982336283,0.006584835052490234,0.0008713420553956592,entropy,3,20,2,"{'criterion': 'entropy', 'max_depth': 3, 'max_features': 20, 'min_samples_leaf': 2}",0.7578313763723454,0.7459624433046501,0.5829341698105209,0.6309185706413463,0.6369224247562526,0.670913796977023,0.06882210580184411,235
0.2033299446105957,0.011105977650593917,0.0053502082824707035,0.0007301587821001942,entropy,3,20,3,"{'criterion': 'entropy', 'max_depth': 3, 'max_features': 20, 'min_samples_leaf': 3}",0.7446059938111992,0.7435462676444407,0.7476580051714637,0.7481666737315078,0.6036456125476897,0.7175245105812602,0.05696650182462184,193
0.17340340614318847,0.03439128751644333,0.006679153442382813,0.0010027798322588544,entropy,3,20,4,"{'criterion': 'entropy', 'max_depth': 3, 'max_features': 20, 'min_samples_leaf': 4}",0.7446059938111992,0.7528294688652453,0.7454961637912764,0.6368106481285236,0.7068249258160237,0.7173134400824537,0.04333877282314124,195
0.19985365867614746,0.014553956284325119,0.006189775466918945,0.001150133166936245,entropy,3,20,5,"{'criterion': 'entropy', 'max_depth': 3, 'max_features': 20, 'min_samples_leaf': 5}",0.7458352761646391,0.7459624433046501,0.739604086304099,0.7075579670213217,0.7475201356506994,0.7372959816890818,0.015114478453450143,160
0.20077204704284668,0.022670252171246123,0.005358219146728516,0.00073586889274316,entropy,3,20,7,"{'criterion': 'entropy', 'max_depth': 3, 'max_features': 20, 'min_samples_leaf': 7}",0.749311177991607,0.7606714424992582,0.7403670891441652,0.7420626510109788,0.7570580754557016,0.7498940872203421,0.007998862204815143,127
0.19435606002807618,0.010535416720311223,0.006360530853271484,0.0011092966182807262,entropy,3,20,8,"{'criterion': 'entropy', 'max_depth': 3, 'max_features': 20, 'min_samples_leaf': 8}",0.7446059938111992,0.7075155779746514,0.7450722733245729,0.7481666737315078,0.7068249258160237,0.730437088931591,0.01903793358758595,170
0.18348031044006347,0.014015687218410136,0.005338621139526367,0.00037178805168413057,entropy,3,20,9,"{'criterion': 'entropy', 'max_depth': 3, 'max_features': 20, 'min_samples_leaf': 9}",0.7510491289050909,0.7412148700775719,0.7136619897418507,0.7473188927981009,0.7116998728274693,0.7329889508700168,0.016887505934751787,167
0.20551424026489257,0.03330384389352339,0.005686187744140625,0.0007207445714840087,entropy,3,22,1,"{'criterion': 'entropy', 'max_depth': 3, 'max_features': 22, 'min_samples_leaf': 1}",0.7303632741299648,0.7459624433046501,0.7065830189479039,0.7481666737315078,0.712547689699025,0.7287246199626104,0.01691014348875616,175
0.19826140403747558,0.028008453154725978,0.006142473220825196,0.0013374398588203128,entropy,3,22,2,"{'criterion': 'entropy', 'max_depth': 3, 'max_features': 22, 'min_samples_leaf': 2}",0.7510491289050909,0.7466406680513755,0.7476580051714637,0.7481666737315078,0.7137346333192031,0.7414498218357282,0.013934711298572974,150
0.2167595386505127,0.010583835616289004,0.0058209896087646484,0.0007358406199201279,entropy,3,22,3,"{'criterion': 'entropy', 'max_depth': 3, 'max_features': 22, 'min_samples_leaf': 3}",0.7285405451231401,0.7459624433046501,0.7450722733245729,0.7481666737315078,0.7455701568461213,0.7426624184659985,0.007139700828493749,147
0.21642708778381348,0.01651860124470964,0.005439090728759766,0.0007359766964739547,entropy,3,22,4,"{'criterion': 'entropy', 'max_depth': 3, 'max_features': 22, 'min_samples_leaf': 4}",0.7446059938111992,0.7466406680513755,0.7450722733245729,0.7420626510109788,0.7475201356506994,0.7451803443697652,0.0018798264966619987,141
0.19858522415161134,0.022881697867501452,0.005883169174194336,0.0008211671167130856,entropy,3,22,5,"{'criterion': 'entropy', 'max_depth': 3, 'max_features': 22, 'min_samples_leaf': 5}",0.7510491289050909,0.7466406680513755,0.7403670891441652,0.7435038785977703,0.5835099618482408,0.7130141453093285,0.06484835219989238,200
